Department,Abb,Tool,Tool_desc,Date,Output,Analysis,Population,Updated
Administration for Children's Services,ACS,Severe Harm Predictive model,"The Quality Assurance Unit in the Division of Child Protection at ACS has the capacity to review about 3,000 investigation cases out of about 50,000 investigations annually. ACS developed this predictive model to support the selection of cases for Quality Assurance review. Open investigations involving children with the greatest likelihood to experience future severe harm having substantiated allegations of physical abuse in the following 24 months  are selected for review. ",2018/05,Unknown,Unknown,Unknown,Unknown
Administration for Children's Services,ACS,Repeat Maltreatment (RM) model,Predictions of Repeat Maltreatment (identifying the likelihood of being involved in a future indicated investigation within the next 24 months) are based on Machine Learning methodology and are calculated for all children receiving prevention services from ACS prevention service providers. ,2017/07,Unknown,Unknown,Unknown,Unknown
Administration for Children's Services,ACS,Accelerated Safety Analysis Protocol (ASAP) Tool,Predictions of Severe Harm (identifying likelihood of substantiated allegations of physical abuse within the next 24 months) are based on a machine learning methodology and are calculated for all children involved in active investigations early in the investigation (day 10). An investigation is assigned a numeric likelihood of this outcome based on the child in the case with the highest likelihood. ,2018/05,"Rank ordered list of open investigation cases involving children with the highest likelihood to experience future severe harm, defined as substantiated allegations of physical abuse in the following 24 months to be reviewed by a special QA Review Team.",Predictive modeling,Unknown,No
Administration for Children's Services,ACS,Prevention Score Card,Predictions of Repeat Maltreatment (identifying the likelihood of being involved in a future indicated investigation within the next 24 months at the start of service) are based on a machine learning methodology and are calculated for all children receiving prevention services from ACS prevention service providers.,2021/09,"The model is used for generating a scorecard of prevention service providers by categorizing prevention programs based on the average risk profile of the cases they served during the assessment year. These groupings of program cohorts provide context for understanding the Scorecard, as it allows for performance comparison of programs that accepted and served families with similar risk profiles.",Predictive modeling,Individuals,Yes
Administration for Children's Services,ACS,Un-Involvement Model,Predictions of Un-Involvement (identifying the likelihood of no future involvement with ACS within 24 months beyond the current investigation) are based on a machine learning methodology and are calculated for all children in an ongoing investigation. ,2023/05,"A recommendation and description are displayed on both day 10 and day 40 of all open cases via a reporting platform, viewable to only deputy directors. Upon discussion with the deputy directors on day 40, the case worker makes a determination to close the case or not. The case workers are not aware that the recommendation is generated by a machine learning model, to not bias the decision-making process. ",Predictive modeling,Individuals,No
Administration for Children's Services,ACS,Housing Prioritization,The city has allocated 100 housing vouchers to families receiving ACS Prevention Services. The shelter application model identifies the likelihood of a family in prevention services applying for homeless shelter within 12 months beyond the current prevention case. The model uses a machine learning methodology and is calculated for all children in a prevention case. ACS Prevention Services reaches out to the Service Providers assisting the families with the highest risk for applying for shelter.,2023/04,Rank ordered list of open prevention cases involving children whose families have the highest likelihood of applying for a homeless shelter within 12 months of starting a prevention service.,Predictive modeling,Individuals,No
Consumer and Worker Protection,DCWP,Route Automation,"Inspection Supervisor selects an inspector, enters a date and the number of businesses to be inspected, and the geographic area to be considered.  The system identifies businesses in the selected area and assigns them to the route based on inspection priority until the number of businesses entered has been reached.  Then the tool runs a Simulated Annealing Algorithm to optimize the order businesses appear on the route based on proximity and method of travel.",2020/07,An ordered list of businesses to be inspected on a given day by a given inspector.,Optimization,"Group, organization, or business",No
Environmental Protection,DEP,Idling Complaints Program,A contractor helped create an AI tool that analyzes the audio and visual aspects of pictures and videos submitted by citizens of alleged car idling complaint occurrences that are in violation of ABC air pollution laws.,2022/08,"Recommendation, confidence level, description of its decision from the tool.",Computer vision,Individuals,Yes
Education,DOE,MySchools,"MySchools is an application used to house online school directories, collect application choices, and run the admissions matching algorithm that is used for all centralized admissions processes. The tool encompasses a family-facing portal, a school-facing portal, and an administrative portal.",2018/08,The algorithm outputs a school match for each student.,Matching,Individuals,No
Education,DOE,APPR Measures of Student Learning (MOSL) Growth Model,"The Department developed and maintains a ""growth model"" to produce Measures of Student Learning (MOSL) ratings for use in annual professional performance reviews (APPR) for teachers and principals.",2013/09,Unknown,Unknown,Unknown,Unknown
Education,DOE,APPR Measures of Teaching/Leadership Practice (MOTP/MOLP) Calculation,"Throughout a school year, evaluators observe teachers/principals multiple times and use a rubric to provide a numerical rating on one or more rubric components. These rubric component scores are then weight-averaged according to collectively bargained rules to produce an MOTP/MOLP Rating. The MOTP/MOLP Rating is combined with the MOSL Rating to produce an Overall Rating for each eligible educator.",2013/09,Unknown,Unknown,Unknown,Unknown
Education,DOE,AlKhwarmi! Chatbot,"The tool is used to respond to common IT service desk requests - Password Reset, Create a Ticket, Ticket Status, Request for Information.  Users can access the tool by phone, by computer through the DOE Support Hub application, and from links from MS Teams and other DOE systems.",2023/08,"The chatbot generates responses to user-entered prompts based on the training data, or forwards the inquiry to a human Service Desk agent. Since its launch in August 2023, the chatbot handles an average of 1,500 calls and 300 web-based inquiries each day. Approximately 30 percent of the voice calls and 10 percent of the web-based queries have been handled completely by AlKhwarmi without being forwarded to a human Service Desk agent.",Speech and language processing,Individuals,No
Education,DOE,Open Gen AI and Teaching Assistant Tool,"The tool is used to generate responses to prompts entered by a student or teacher, requesting the generative AI tool to compose a text response to a text input.",2023/05,The output data for the Open Gen AI tool is the response generated by the ChatGPT LLM.  The output data for the Teaching Assistant is the response generated by specifically developed LLM using the Illustrative Math curriculum.,Speech and language processing,Individuals,No
Unknown,DOHMH,Newborn Home Visiting Program Screening Tools,The NHVP database uses an algorithm based on screening tool results to determine breastfeeding and maternal depression referrals.,2015/09,Unknown,Unknown,Unknown,Unknown
